Région,Province,Année,Surface (1000 Ha),Production (1000 Qx),Rendement (Qx/Ha),Latitude,Longitude,Pluie_Saisonniere_mm,NDVI_01,NDVI_03,NDVI_05,NDVI_Moyen,Point_ID
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2021,47.4,598.4,12.62,35.20249255,-3.933316512,449.35,0.5145,0.5017,0.698,0.5714,Al Hoceïma_2021_Pt0
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2021,47.4,598.4,12.62,35.20664289,-3.948983632,449.35,0.3406,0.335,0.0605,0.245366667,Al Hoceïma_2021_Pt1
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2021,47.4,598.4,12.62,35.1092931,-3.923074476,449.35,0.271,0.4263,0.2684,0.3219,Al Hoceïma_2021_Pt2
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2021,47.4,598.4,12.62,35.18133845,-3.984122825,449.35,0.1609,0.5064,0.3392,0.3355,Al Hoceïma_2021_Pt3
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2021,47.4,598.4,12.62,35.10145806,-3.965562059,449.35,0.2674,0.4149,0.2806,0.320966667,Al Hoceïma_2021_Pt4
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2021,47.4,598.4,12.62,35.14331419,-3.944152484,449.35,0.2771,0.301,0.2432,0.273766667,Al Hoceïma_2021_Pt5
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2021,47.4,598.4,12.62,35.195786,-3.955261699,449.35,0.3531,0.4931,0.2768,0.374333333,Al Hoceïma_2021_Pt6
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2021,47.4,598.4,12.62,35.09907646,-3.970119576,449.35,0.4359,0.4256,0.3489,0.403466667,Al Hoceïma_2021_Pt7
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2021,47.4,598.4,12.62,35.11792048,-3.947351384,449.35,0.9086,0.7321,0.5642,0.734966667,Al Hoceïma_2021_Pt8
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2021,47.4,598.4,12.62,35.12735846,-3.977656155,449.35,0.2554,0.4224,0.3479,0.3419,Al Hoceïma_2021_Pt9
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2020,72.6,910.6,12.54,35.193363,-3.952416512,523.79,0.1866,0.4241,0.2859,0.298866667,Al Hoceïma_2020_Pt0
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2020,72.6,910.6,12.54,35.09952599,-3.869807964,523.79,0.2798,0.3378,0.2713,0.2963,Al Hoceïma_2020_Pt1
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2020,72.6,910.6,12.54,35.12455665,-3.947024251,523.79,0.4021,0.3474,0.4181,0.3892,Al Hoceïma_2020_Pt2
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2020,72.6,910.6,12.54,35.15479805,-3.904939742,523.79,0.2877,0.3964,0.2618,0.3153,Al Hoceïma_2020_Pt3
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2019,54.7,356.3,6.51,35.14871216,-3.900124018,413,0.5654,0.4211,0.4112,0.4659,Al Hoceïma_2019_Pt0
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2019,54.7,356.3,6.51,35.11887212,-3.92202038,413,0.4078,0.3098,0.2617,0.326433333,Al Hoceïma_2019_Pt1
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2019,54.7,356.3,6.51,35.20932278,-3.916596869,413,0.5152,0.41,0.3684,0.4312,Al Hoceïma_2019_Pt2
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2019,54.7,356.3,6.51,35.13022587,-3.94600094,413,0.5315,0.4113,0.3058,0.4162,Al Hoceïma_2019_Pt3
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2019,54.7,356.3,6.51,35.13932374,-3.917798289,413,0.7695,0.517,0.451,0.579166667,Al Hoceïma_2019_Pt4
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2018,102,1711.9,16.78,35.13406995,-3.939977655,486.47,0.3338,0.4932,0.2745,0.367166667,Al Hoceïma_2018_Pt0
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2018,102,1711.9,16.78,35.18607738,-3.985568887,486.47,0.2216,0.4815,0.327,0.343366667,Al Hoceïma_2018_Pt1
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2018,102,1711.9,16.78,35.20023028,-3.939440994,486.47,-0.0072,0.5424,0.4414,0.325533333,Al Hoceïma_2018_Pt2
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2018,102,1711.9,16.78,35.16186701,-3.967287093,486.47,0.0807,0.3994,0.2616,0.247233333,Al Hoceïma_2018_Pt3
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2018,102,1711.9,16.78,35.11104097,-3.930795968,486.47,0.4643,0.4836,0.3935,0.447133333,Al Hoceïma_2018_Pt4
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2018,102,1711.9,16.78,35.12660289,-3.959507294,486.47,0.2754,0.4466,0.191,0.304333333,Al Hoceïma_2018_Pt5
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2018,102,1711.9,16.78,35.1930128,-3.949586188,486.47,-0.0392,0.3234,0.2804,0.1882,Al Hoceïma_2018_Pt6
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2018,102,1711.9,16.78,35.18320925,-3.952110369,486.47,0.0315,0.361,0.2852,0.2259,Al Hoceïma_2018_Pt7
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2018,102,1711.9,16.78,35.19778754,-3.976743183,486.47,-0.0668,0.5137,0.3692,0.272033333,Al Hoceïma_2018_Pt8
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2018,102,1711.9,16.78,35.20210781,-3.954589204,486.47,-0.0469,0.517,0.4496,0.306566667,Al Hoceïma_2018_Pt9
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2017,109.9,1561.4,14.21,35.15242199,-3.94208948,517.87,0.2,0.6015,0.3827,0.394733333,Al Hoceïma_2017_Pt0
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2017,109.9,1561.4,14.21,35.18816433,-3.88246489,517.87,0.2,0.8155,0.303,0.4395,Al Hoceïma_2017_Pt1
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2017,109.9,1561.4,14.21,35.17286435,-3.985809663,517.87,0.2,0.3778,0.1212,0.233,Al Hoceïma_2017_Pt2
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2017,109.9,1561.4,14.21,35.18414495,-3.867703649,517.87,0.2,0.5463,0.3603,0.368866667,Al Hoceïma_2017_Pt3
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2017,109.9,1561.4,14.21,35.19968601,-3.955945942,517.87,0.2,0.5143,0.1074,0.2739,Al Hoceïma_2017_Pt4
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2017,109.9,1561.4,14.21,35.12060691,-3.895659489,517.87,0.2,0.447,0.2567,0.301233333,Al Hoceïma_2017_Pt5
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2017,109.9,1561.4,14.21,35.12635493,-3.972196872,517.87,0.2,0.4877,0.3045,0.330733333,Al Hoceïma_2017_Pt6
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2017,109.9,1561.4,14.21,35.15798202,-3.985842066,517.87,0.2,0.6843,0.2572,0.3805,Al Hoceïma_2017_Pt7
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2017,109.9,1561.4,14.21,35.09938417,-3.981899208,517.87,0.2,0.4656,0.291,0.318866667,Al Hoceïma_2017_Pt8
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2017,109.9,1561.4,14.21,35.1017174,-3.97801963,517.87,0.2,0.4469,0.2917,0.312866667,Al Hoceïma_2017_Pt9
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2016,83.4,113.2,1.36,35.12909698,-3.949616812,320,0.2,0.3853,0.2758,0.287033333,Al Hoceïma_2016_Pt0
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2016,83.4,113.2,1.36,35.10363391,-3.894093533,320,0.2,0.3238,0.269,0.264266667,Al Hoceïma_2016_Pt1
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2016,83.4,113.2,1.36,35.17625921,-3.914196906,320,0.2,0.412,0.3243,0.3121,Al Hoceïma_2016_Pt2
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2016,83.4,113.2,1.36,35.17366595,-3.86759931,320,0.2,0.4065,0.2339,0.280133333,Al Hoceïma_2016_Pt3
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2016,83.4,113.2,1.36,35.17668179,-3.890689212,320,0.2,0.3271,0.1815,0.2362,Al Hoceïma_2016_Pt4
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2016,83.4,113.2,1.36,35.20040574,-3.942059239,320,0.2,0.3352,-0.0021,0.1777,Al Hoceïma_2016_Pt5
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2016,83.4,113.2,1.36,35.17495298,-3.959053853,320,0.2,0.3314,0.2024,0.2446,Al Hoceïma_2016_Pt6
Tanger-Tétouan-Al Hoceïma,Larache,2021,72.3,2119.1,29.31,35.12679836,-6.075296395,568.5,0.2854,0.5795,0.5969,0.487266667,Larache_2021_Pt0
Tanger-Tétouan-Al Hoceïma,Larache,2021,72.3,2119.1,29.31,35.08808771,-6.076400597,568.5,-0.0012,0.639,0.5599,0.399233333,Larache_2021_Pt1
Tanger-Tétouan-Al Hoceïma,Larache,2021,72.3,2119.1,29.31,35.10714723,-6.108173757,568.5,0.0555,0.7727,0.6989,0.509033333,Larache_2021_Pt2
Tanger-Tétouan-Al Hoceïma,Larache,2021,72.3,2119.1,29.31,35.16046759,-6.115051725,568.5,-0.0381,0.472,0.3486,0.260833333,Larache_2021_Pt3
Tanger-Tétouan-Al Hoceïma,Larache,2021,72.3,2119.1,29.31,35.10940982,-6.076584803,568.5,0.2746,0.4509,0.3221,0.3492,Larache_2021_Pt4
Tanger-Tétouan-Al Hoceïma,Larache,2021,72.3,2119.1,29.31,35.12070987,-6.124077061,568.5,-0.0999,0.4981,0.3871,0.261766667,Larache_2021_Pt5
Tanger-Tétouan-Al Hoceïma,Larache,2021,72.3,2119.1,29.31,35.0678158,-6.158034143,568.5,0.1656,0.534,0.245,0.314866667,Larache_2021_Pt6
Tanger-Tétouan-Al Hoceïma,Larache,2021,72.3,2119.1,29.31,35.11163555,-6.111383862,568.5,0.1646,0.5137,0.3972,0.3585,Larache_2021_Pt7
Tanger-Tétouan-Al Hoceïma,Larache,2021,72.3,2119.1,29.31,35.12274022,-6.155791683,568.5,0.358,0.482,0.2665,0.368833333,Larache_2021_Pt8
Tanger-Tétouan-Al Hoceïma,Larache,2021,72.3,2119.1,29.31,35.13990435,-6.089140437,568.5,0.6066,0.4439,0.2992,0.4499,Larache_2021_Pt9
Tanger-Tétouan-Al Hoceïma,Larache,2020,76.6,2040.2,26.63,35.07778406,-6.118902594,417.1,0.4903,0.6945,0.2259,0.470233333,Larache_2020_Pt0
Tanger-Tétouan-Al Hoceïma,Larache,2020,76.6,2040.2,26.63,35.06635026,-6.131026483,417.1,0.2491,0.3016,0.3361,0.2956,Larache_2020_Pt1
Tanger-Tétouan-Al Hoceïma,Larache,2020,76.6,2040.2,26.63,35.05634504,-6.124732752,417.1,0.3727,0.6276,0.3698,0.4567,Larache_2020_Pt2
Tanger-Tétouan-Al Hoceïma,Larache,2020,76.6,2040.2,26.63,35.10026559,-6.171119488,417.1,0.7039,0.5555,0.1867,0.482033333,Larache_2020_Pt3
Tanger-Tétouan-Al Hoceïma,Larache,2020,76.6,2040.2,26.63,35.09525795,-6.075090215,417.1,0.7105,0.4888,0.5941,0.5978,Larache_2020_Pt4
Tanger-Tétouan-Al Hoceïma,Larache,2020,76.6,2040.2,26.63,35.06193276,-6.108367027,417.1,0.3362,0.756,0.2075,0.433233333,Larache_2020_Pt5
Tanger-Tétouan-Al Hoceïma,Larache,2020,76.6,2040.2,26.63,35.11371751,-6.102963442,417.1,0.3425,0.4472,0.2849,0.3582,Larache_2020_Pt6
Tanger-Tétouan-Al Hoceïma,Larache,2020,76.6,2040.2,26.63,35.07855753,-6.171031168,417.1,0.5974,0.3012,0.2327,0.3771,Larache_2020_Pt7
Tanger-Tétouan-Al Hoceïma,Larache,2020,76.6,2040.2,26.63,35.13423232,-6.102973845,417.1,0.6923,0.5204,0.1254,0.446033333,Larache_2020_Pt8
Tanger-Tétouan-Al Hoceïma,Larache,2020,76.6,2040.2,26.63,35.05483138,-6.116911609,417.1,0.2302,0.6353,0.3638,0.409766667,Larache_2020_Pt9
Tanger-Tétouan-Al Hoceïma,Larache,2019,81.2,1356.1,16.7,35.12701809,-6.128319536,482.96,0.6206,0.4977,0.3586,0.4923,Larache_2019_Pt0
Tanger-Tétouan-Al Hoceïma,Larache,2019,81.2,1356.1,16.7,35.09319689,-6.132319969,482.96,0.4193,0.5726,0.2709,0.420933333,Larache_2019_Pt1
Tanger-Tétouan-Al Hoceïma,Larache,2019,81.2,1356.1,16.7,35.08219267,-6.075549607,482.96,0.3644,0.6683,0.4346,0.4891,Larache_2019_Pt2
Tanger-Tétouan-Al Hoceïma,Larache,2019,81.2,1356.1,16.7,35.09948439,-6.073814547,482.96,0.1008,0.6064,0.1008,0.269333333,Larache_2019_Pt3
